song_id|track_num|song_name|topic|theme|lyrics
165|12.0|Hello Rain|rain|Routines & Social Skills, Seasons & Weather, Water & Sea|
358|19.0|I Shut the Door|Seasons & Routines|Routines & Social Skills, Seasons & Weather, Water & Sea|
106|34.0|The Moon is Round / The Moonman|Moon & Shapes|Seasons & Weather|
108|1.0|Circle Of The Sun|Circles|Seasons & Weather|
132|25.0|I see the moon||Seasons & Weather|
135|1.0|Great Big Star |moon stars|Seasons & Weather|
137|3.0|Mister Moon / The Cuckoo |moon stars|Seasons & Weather|
148|14.0|I See The Moon (up over my bed) |Moon & Stars|Seasons & Weather|
164|11.0|The Cold Winds Are Blowing|Weather|Seasons & Weather|
179|1.0|Sally Go Round the Sun||Seasons & Weather|
214|3.0|When the day is over and the sun goes down||Seasons & Weather|
215|4.0|Up and Over the Moon!|moon stars|Seasons & Weather|
216|5.0|You Are My Sunshine|sun|Seasons & Weather|
217|6.0|Mr Moon|moon stars|Seasons & Weather|
223|12.0|Big Moon Bright Moon||Seasons & Weather|
225|14.0|The Moon is a Pearl||Seasons & Weather|
247|19.0|The Moon is Round ||Seasons & Weather|
252|24.0|I See the Moon|Moon & Stars|Seasons & Weather|
256|28.0|The Moonman|Moon & Imagination|Seasons & Weather|
319|10.0|Sally Go Round the Sun||Seasons & Weather|
323|14.0|Snow On the Rooftops||Seasons & Weather|
339|30.0|Great Big Star||Seasons & Weather|
354|15.0|Roll that Pumpkin Down To Town|Autumn|Seasons & Weather|
384|2.0|Mr. Sun|sun|Seasons & Weather|
393|11.0|Because it's Spring|happiness|Seasons & Weather|
464|10.0|Sally Go Round the Sun||Seasons & Weather|
467|13.0|A Chubby Little Snowman? Voici in bonhomme de neige||Seasons & Weather|
468|14.0|Snow On the Rooftops||Seasons & Weather|
470|16.0|Spring is Coming||Seasons & Weather|
471|17.0|Welcome Summer||Seasons & Weather|
509|10.0|Sally Go Round the Sun||Seasons & Weather|
512|13.0|A Chubby Little Snowman? Voici in bonhomme de neige||Seasons & Weather|
513|14.0|Snow On the Rooftops||Seasons & Weather|
515|16.0|Spring is Coming||Seasons & Weather|
516|17.0|Welcome Summer||Seasons & Weather|
